timestamp,ALTITUDE.time_usec,ALTITUDE.altitude_monotonic,ALTITUDE.altitude_amsl,ALTITUDE.altitude_local,ALTITUDE.altitude_relative,ALTITUDE.altitude_terrain,ALTITUDE.bottom_clearance
1631219449.30900002,202310504,83.35989379882812,123.35933685302734,4.933419704437256,5.029189586639404,nan,nan
1631219450.93099999,203907739,83.12737274169922,123.39310455322266,4.967187881469727,5.062957763671875,nan,nan
1631219452.48599982,205506515,83.0877456665039,123.38945007324219,4.963528633117676,5.059298515319824,nan,nan
1631219454.12299991,207093464,83.06659698486328,123.30500030517578,4.879079818725586,4.974849700927734,nan,nan
1631219455.71899986,208696713,82.81558227539062,123.22708892822266,4.801169395446777,4.896939277648926,nan,nan
1631219457.36500001,210286900,83.04546356201172,123.25183868408203,4.825922966003418,4.921692848205566,nan,nan
1631219458.91899991,211889512,83.00318908691406,123.3519058227539,4.925987720489502,5.02175760269165,nan,nan
1631219460.52999997,213484760,83.10887908935547,123.34873962402344,4.9228196144104,5.018589496612549,nan,nan
1631219462.03399992,215077469,83.00318908691406,123.3748550415039,4.948938846588135,5.044708728790283,nan,nan
1631219463.65999985,216666239,83.25420379638672,123.34110260009766,4.915186405181885,5.010956287384033,nan,nan
1631219465.35299993,218266687,83.48408508300781,123.31491088867188,4.888996124267578,4.984766006469727,nan,nan
1631219466.85099983,219856477,83.56864166259766,123.40381622314453,4.977899074554443,5.073668956756592,nan,nan
1631219468.46700001,221456697,83.23307037353516,123.39291381835938,4.9669928550720215,5.06276273727417,nan,nan
1631219470.08200002,223046538,83.13001251220703,123.31622314453125,4.890305042266846,4.986074924468994,nan,nan
1631219471.65299988,224647699,82.43772888183594,123.28535461425781,4.859439373016357,4.955209255218506,nan,nan
1631219473.21000004,226247690,82.39544677734375,123.2284927368164,4.802574634552002,4.89834451675415,nan,nan
1631219476.42400002,227837981,82.77330780029297,123.25347137451172,4.827552318572998,4.9233222007751465,nan,nan
1631219476.42599988,229427599,82.75216674804688,123.28954315185547,4.863623142242432,4.95939302444458,nan,nan
1631219478.03699994,231027830,83.15115356445312,123.27262115478516,4.846703052520752,4.9424729347229,nan,nan
1631219479.64499998,232616762,82.75216674804688,123.33091735839844,4.9049973487854,5.000767230987549,nan,nan
1631219481.21700001,234215565,83.17228698730469,123.36173248291016,4.935814380645752,5.0315842628479,nan,nan
