timestamp,SERVO_OUTPUT_RAW.time_usec,SERVO_OUTPUT_RAW.port,SERVO_OUTPUT_RAW.servo1_raw,SERVO_OUTPUT_RAW.servo2_raw,SERVO_OUTPUT_RAW.servo3_raw,SERVO_OUTPUT_RAW.servo4_raw,SERVO_OUTPUT_RAW.servo5_raw,SERVO_OUTPUT_RAW.servo6_raw,SERVO_OUTPUT_RAW.servo7_raw,SERVO_OUTPUT_RAW.servo8_raw,SERVO_OUTPUT_RAW.servo9_raw,SERVO_OUTPUT_RAW.servo10_raw,SERVO_OUTPUT_RAW.servo11_raw,SERVO_OUTPUT_RAW.servo12_raw,SERVO_OUTPUT_RAW.servo13_raw,SERVO_OUTPUT_RAW.servo14_raw,SERVO_OUTPUT_RAW.servo15_raw,SERVO_OUTPUT_RAW.servo16_raw
1631219538.66699982,291636969,0,1517,1535,1526,1596,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219540.24599981,293227758,0,1490,1533,1493,1596,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219541.83500004,294810798,0,1530,1550,1448,1567,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219543.45099998,296415223,0,1500,1534,1497,1600,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219545.06299996,298025950,0,1518,1542,1523,1617,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219546.62800002,299602323,0,1508,1546,1526,1615,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219548.23300004,301216746,0,1513,1555,1441,1566,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219549.88299990,302805667,0,1518,1535,1510,1611,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219551.41599989,304390584,0,1522,1563,1454,1569,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219552.99300003,305986553,0,1542,1555,1442,1584,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219554.61899996,307592235,0,1514,1530,1492,1615,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219556.28099990,309160050,0,1505,1566,1446,1566,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219557.81599998,310758263,0,1409,1516,1565,1624,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219559.40499997,312361624,0,1548,1616,1466,1513,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219560.96399999,313961234,0,1456,1575,1537,1589,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219562.58599997,315566063,0,1457,1521,1523,1617,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219564.17799997,317160853,0,1420,1461,1569,1666,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219565.86699986,318747340,0,1587,1587,1440,1510,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219567.37999988,320330164,0,1547,1575,1528,1533,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219568.98099995,321931873,0,1497,1538,1570,1584,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219570.59099984,323528201,0,1510,1535,1535,1597,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219572.12199998,325117238,0,1557,1560,1498,1550,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219573.78299999,326719236,0,1556,1566,1499,1564,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219575.35699987,328328615,0,1504,1552,1552,1575,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219576.97000003,329905813,0,1520,1535,1536,1579,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219578.56799984,331515019,0,1488,1554,1558,1570,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219580.15799999,333115546,0,1499,1547,1549,1575,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219581.75000000,334687993,0,1489,1553,1552,1583,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219583.30699992,336294672,0,1502,1568,1556,1576,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219584.90599990,337886592,0,1505,1545,1546,1574,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219586.52499986,339490731,0,1502,1562,1553,1576,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219588.15599990,341083825,0,1496,1558,1551,1574,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219589.69199991,342686441,0,1535,1580,1496,1558,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219591.34599996,344256537,0,1521,1546,1533,1596,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219592.96000004,345847096,0,1500,1550,1558,1581,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219594.47099996,347448114,0,1500,1556,1551,1582,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219596.14199996,349047792,0,1500,1568,1551,1588,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219597.67299986,350637590,0,1520,1551,1539,1590,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219599.27799988,352246032,0,1499,1560,1548,1574,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219600.85500002,353849773,0,1606,1630,1455,1517,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219602.48399997,355440201,0,1510,1546,1506,1606,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219604.13399982,357040069,0,1483,1569,1537,1586,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219605.66599989,358632683,0,1467,1556,1542,1605,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219607.26899981,360235245,0,1473,1575,1549,1597,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219608.85299993,361817596,0,1485,1547,1518,1613,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219610.46299982,363408265,0,1466,1564,1545,1607,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219612.03799987,365016197,0,1480,1568,1539,1608,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219613.59599996,366603104,0,1438,1487,1557,1679,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219615.21299982,368185420,0,1556,1567,1410,1638,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219616.80299997,369781258,0,1537,1476,1583,1630,1512,1512,900,900,0,0,0,0,0,0,0,0
